iter	Passed	Remaining
0	142	142139
1	144	72128
2	146	48618
3	148	36859
4	149	29816
5	150	24989
6	151	21542
7	152	18954
8	153	16939
9	155	15441
10	157	14187
11	159	13131
12	161	12244
13	163	11480
14	164	10819
15	166	10242
16	168	9736
17	170	9292
18	172	8886
19	173	8520
20	175	8190
21	177	7898
22	179	7622
23	181	7368
24	182	7134
25	186	6977
26	188	6781
27	189	6593
28	191	6416
29	193	6249
30	195	6096
31	196	5951
32	198	5816
33	200	5697
34	202	5577
35	203	5461
36	205	5352
37	207	5250
38	209	5153
39	210	5060
40	212	4971
41	214	4890
42	216	4808
43	217	4732
44	219	4658
45	221	4587
46	222	4519
47	224	4454
48	226	4392
49	228	4334
50	229	4277
51	231	4221
52	233	4167
53	234	4115
54	236	4065
55	238	4017
56	239	3970
57	241	3924
58	243	3884
59	245	3841
60	246	3801
61	248	3761
62	250	3721
63	251	3684
64	253	3648
65	255	3614
66	257	3580
67	258	3547
68	260	3515
69	262	3484
70	263	3453
71	265	3423
72	267	3394
73	269	3366
74	270	3338
75	272	3315
76	274	3289
77	276	3263
78	277	3238
79	279	3214
80	281	3189
81	282	3166
82	283	3131
83	285	3108
84	287	3089
85	288	3068
86	290	3047
87	292	3026
88	293	3006
89	295	2987
90	297	2967
91	298	2948
92	300	2931
93	302	2913
94	303	2895
95	305	2878
96	307	2861
97	309	2845
98	310	2828
99	312	2812
100	314	2795
101	316	2785
102	319	2779
103	320	2764
104	322	2749
105	324	2734
106	325	2719
107	327	2704
108	329	2691
109	330	2677
110	332	2664
111	334	2653
112	336	2640
113	337	2626
114	339	2613
115	341	2600
116	342	2584
117	344	2572
118	345	2561
119	347	2548
120	349	2536
121	350	2521
122	352	2510
123	353	2499
124	355	2488
125	357	2477
126	358	2465
127	360	2459
128	362	2448
129	364	2438
130	366	2428
131	367	2417
132	369	2407
133	371	2398
134	372	2389
135	374	2379
136	376	2370
137	377	2360
138	379	2351
139	381	2342
140	382	2332
141	383	2318
142	385	2309
143	387	2301
144	388	2292
145	390	2283
146	392	2275
147	393	2267
148	395	2259
149	397	2250
150	398	2242
151	400	2234
152	402	2226
153	403	2219
154	405	2211
155	407	2203
156	409	2196
157	410	2188
158	412	2181
159	414	2173
160	414	2162
161	416	2155
162	418	2147
163	420	2141
164	421	2134
165	423	2127
166	425	2120
167	426	2114
168	428	2107
169	430	2103
170	432	2098
171	434	2092
172	436	2085
173	437	2079
174	439	2072
175	441	2066
176	442	2059
177	444	2054
178	446	2049
179	448	2043
180	450	2036
181	451	2030
182	453	2024
183	455	2019
184	456	2012
185	458	2007
186	460	2001
187	462	1995
188	463	1989
189	465	1983
190	467	1978
191	468	1972
192	470	1966
193	472	1961
194	474	1958
195	476	1955
196	478	1949
197	479	1944
198	481	1938
199	483	1932
200	484	1927
201	486	1922
202	488	1917
203	490	1912
204	492	1908
205	493	1902
206	495	1897
207	496	1892
208	498	1887
209	500	1882
210	502	1877
211	503	1872
212	505	1867
213	507	1862
214	508	1857
215	510	1852
216	512	1848
217	513	1843
218	515	1838
219	517	1834
220	519	1830
221	520	1825
222	522	1821
223	524	1817
224	526	1812
225	527	1808
226	529	1803
227	533	1805
228	535	1801
229	536	1797
230	538	1792
231	540	1788
